claim_id,claim_text,beam_case,solver,mapping_mode,maturity,status,quantitative_valid,calibration_required,source_code_path,data_path,figure_path,test_path,notes
VTX-C13,"All G0, B0, V1 and V3 controlled Phase 2A routes pass the 5% numerical propagation-power gate.",G0;B0;V1;V3,scalar_asm,fixed_physical_optics,fixed_bench_nominal_prediction,supported,true,false,vbb_study/digital_twin/phase2a_canonical.py,outputs/validation/phase2a/canonical_case_summary.csv,outputs/figures/phase2b_visual_diagnostics/03_xz_yz_slices/v1_xz_yz_and_power.png,tests/test_phase1_critical_physics_repairs.py;tests/test_phase2a_canonical_lab_realism.py,"The gate tests numerical conservation, not optical efficiency or physical validity."
VTX-C14,"Each realistic Phase 2A energy ledger contains exactly one simulated selected-first-order factor and closes numerically.",G0;B0;V1;V3,energy_ledger,fixed_physical_optics,fixed_bench_nominal_prediction,supported,true,true,vbb_study/digital_twin/phase2a_contracts.py,outputs/validation/phase2a/canonical_power_ledgers.csv,outputs/figures/phase2b_visual_diagnostics/07_energy_ledgers/phase2a_energy_and_throughput_diagnostics.png,tests/test_phase2a_canonical_lab_realism.py;tests/test_phase2b_visual_diagnostics.py,"Relative ledger accounting is supported; absolute pulse energy and measured transmissions remain calibration-required."
VTX-C15,"The realistic route explicitly models phase-only SLM geometry, selected-order filtering, pupil capture and nominal throughput.",G0;B0;V1;V3,scalar_fft+scalar_asm,fixed_physical_optics,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/digital_twin/phase2a_contracts.py,outputs/validation/phase2a/canonical_hardware_manifest.json;outputs/validation/phase2a/slm_model_comparison.csv,outputs/figures/phase2b_visual_diagnostics/07_energy_ledgers/phase2a_energy_and_throughput_diagnostics.png,tests/test_phase2a_canonical_lab_realism.py,"Hardware values labelled assumed or calibration_required must not be described as measured."
VTX-C16,"The repaired physical-axicon route preserves requested nonzero vortex winding by default.",V1;V3,scalar_asm,fixed_physical_optics,relative_optical_prediction,supported_with_scope,true,false,vbb_study/vbb_axicon.py,outputs/validation/phase1_reconciliation/phase1r_final_claim_registry.csv,,tests/test_slm2_preserve_vortex.py;tests/test_slm2_preserve_vortex_end_to_end.py;tests/test_phase1r_reconciliation.py,"Full conjugation that removes winding is permitted only as an explicitly acknowledged diagnostic."
VTX-C17,"Existing phase-mask and hologram exports are diagnostic numerical patterns rather than calibrated hardware masks.",V1;V3,holographic_slm,mixed_historical,relative_optical_prediction,narrowed,false,true,vbb_study/equations/holography.py,outputs/holograms/publication_study/ell3_core3_L150.json,outputs/figures/publication_study/stage6_phase_masks.png;outputs/holograms/publication_study/ell3_core3_L150.png,tests/test_physics_validation.py,"Legacy Stage 6 artifacts require mapping-provenance review before quantitative fixed-bench use; no LUT-calibrated mask claim."
VTX-C18,"Phase 2B 2D views and transverse 3D surfaces render accepted native metrics with interpolation used only for display.",G0;B0;V1;V3,display_from_native_arrays,fixed_physical_optics,fixed_bench_nominal_prediction,supported,true,false,vbb_study/digital_twin/phase2b_figures.py,outputs/figures/phase2b_visual_diagnostics/00_manifests/figure_provenance.csv,outputs/figures/phase2b_visual_diagnostics/05_3d_maps/b0_3d_intensity_surface.png;outputs/figures/phase2b_visual_diagnostics/05_3d_maps/v1_3d_intensity_surface.png;outputs/figures/phase2b_visual_diagnostics/05_3d_maps/v3_3d_intensity_surface.png,tests/test_phase2b_visual_diagnostics.py,"The 3D vertical axis is intensity, not propagation distance."
VTX-C19,"Phase 1R convergence recovery closes the previously high-drift vortex rows under predeclared gates.",V1;V3,scalar_asm,mixed_historical,relative_optical_prediction,supported_with_scope,true,false,tools/run_phase1r_convergence.py,outputs/validation/phase1_reconciliation/phase1r_selected_convergence_results.json,,tests/test_phase1r_reconciliation.py,"Only recovered rows marked quantitatively valid may be reused; retained blocked diagnostics remain blocked."
VTX-C20,"Phase 2C Debye quadrature and canonical-grid convergence pass their predeclared numerical checks.",G0;B0;V1;V3,vector_debye,fixed_physical_optics,relative_optical_prediction,supported,true,false,vbb_study/equations/vector_debye.py,outputs/validation/phase2c/phase2c_quadrature_convergence.csv;outputs/validation/phase2c/phase2c_solver_validation.json,,tests/test_phase2c_objective_interface.py,"Convergence validates the numerical reference, not laboratory agreement."
VTX-C21,"Absolute focal dimensions and absolute fluence are not currently calibrated laboratory claims.",G0;B0;V1;V3,governance,fixed_physical_optics,calibration_ready_prediction,calibration_blocked,false,true,vbb_study/calibration/validation.py,outputs/validation/phase2d/calibration_readiness.json,outputs/figures/phase2d/calibration_readiness.png,tests/test_phase2d_calibration_bridge.py,"Requires real camera/objective scale, pulse energy, stage transmissions and related hardware measurements."
VTX-C22,"The repository does not predict nonlinear material modification, pulse accumulation, thermal response or ablation.",G0;B0;V1;V3,scope_boundary,not_applicable,relative_optical_prediction,supported_scope_boundary,false,true,docs/04_model_limitations.md,outputs/validation/phase2d/phase2d_outcome_report.json,,tests/test_phase2d_calibration_bridge.py,"Linear optical propagation and calibration governance only."
VTX-C23,"The final source-scale route is SLM phase-only modulation, common 4F selected-order filtering, carrier removal, no additional real-space aperture, one physical axicon, then band-limited angular-spectrum propagation in air.",B0;V1;V3,scalar_blasm,fixed_physical_source_scale,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/digital_twin/phase2e_final_source_propagation.py,outputs/validation/phase2e_final_propagation/source_scale_route_contract.json;outputs/validation/phase2e_final_propagation/final_outcome_report.json,outputs/figures/phase2e_final_source_propagation/01_primary_propagation/b0_source_scale_propagation_primary.png,tests/test_phase2e_final_source_propagation.py,"Phase 2E outcome PHASE2E-FINAL-A. Zero objective transforms and exactly one axicon; the z origin is the physical axicon output plane. The finite Gaussian envelope and SLM/numerical support remain, so this is not an infinite-aperture model. SOURCE-SCALE only; experimental_calibration_required = true."
VTX-C24,"The production source grid is N=3072 over a fixed 10 mm window, giving dx=3.255208 um and 19.7646 samples per axicon radial phase period; N=2048 and N=2560 fail the predeclared 1% axial-detail gates.",B0;V1;V3,scalar_blasm,fixed_physical_source_scale,relative_optical_prediction,supported,true,false,vbb_study/digital_twin/phase2e_final_source_metrics.py,outputs/validation/phase2e_final_propagation/final_resolution_gate.csv;outputs/validation/phase2e_final_propagation/final_resolution_gate.json;outputs/validation/phase2e_final_propagation/final_sampling_convergence.csv,outputs/figures/phase2e_final_source_propagation/03_sampling_convergence/source_sampling_convergence.png,tests/test_phase2e_source_sampling_repair.py;tests/test_phase2e_final_source_propagation.py,"Source-sampling convergence of the source-scale route. The accepted complex64 production backend was checked against complex128 BL-ASM with maximum field L2 difference 2.714e-6. This validates the numerical reference, not laboratory agreement."
VTX-C25,"Production propagation uses z=0-180 mm with dz=0.25 mm; the representative 0-140 mm comparison against dz=0.125 mm passes every declared convergence gate.",B0;V1;V3,scalar_blasm,fixed_physical_source_scale,relative_optical_prediction,supported,true,false,vbb_study/digital_twin/phase2e_final_source_propagation.py,outputs/validation/phase2e_final_propagation/z_step_convergence.csv;outputs/validation/phase2e_final_propagation/z_step_convergence.json,outputs/figures/phase2e_final_source_propagation/03_sampling_convergence/source_sampling_convergence.png,tests/test_phase2e_final_source_propagation.py,"Worst raw L2 difference is 6.291e-4 for V3 and the maximum useful-zone boundary shift is 0.125 mm. Numerical z-step convergence only; it is not an experimental axial-resolution claim."
VTX-C26,"B0 has a measured source-scale FWHM axial zone and strict useful region of 20.00-120.00 mm with an 11.257 um reference core radius and 22.513 um median strict feature width.",B0,scalar_blasm,fixed_physical_source_scale,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/digital_twin/phase2e_final_source_metrics.py,outputs/validation/phase2e_final_propagation/final_zone_summary.csv;outputs/validation/phase2e_final_propagation/final_case_summary.csv,outputs/figures/phase2e_final_source_propagation/01_primary_propagation/b0_source_scale_propagation_primary.png;outputs/figures/phase2e_final_source_propagation/04_transverse_snapshots/b0_transverse_snapshots.png;outputs/figures/phase2e_final_source_propagation/06_3d_surfaces/b0_transverse_intensity_surface.png,tests/test_phase2e_final_source_propagation.py,"SOURCE-SCALE result: tens of mm axial propagation with tens of um transverse scale. Simulated on the nominal no-additional-aperture route. Not an objective/sample-scale focal number and not experimentally calibrated. Supersedes VTX-C11 as the final source-scale axial statement for B0."
VTX-C27,"V1 has a measured source-scale FWHM axial zone and strict useful region of 17.25-119.25 mm with an 18.671 um reference ring radius, 19.496 um median strict feature width, 8.943 um median dark-core radius and measured winding 1.",V1,scalar_blasm,fixed_physical_source_scale,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/digital_twin/phase2e_final_source_metrics.py,outputs/validation/phase2e_final_propagation/final_zone_summary.csv;outputs/validation/phase2e_final_propagation/final_case_summary.csv,outputs/figures/phase2e_final_source_propagation/01_primary_propagation/v1_source_scale_propagation_primary.png;outputs/figures/phase2e_final_source_propagation/04_transverse_snapshots/v1_transverse_snapshots.png;outputs/figures/phase2e_final_source_propagation/06_3d_surfaces/v1_transverse_intensity_surface.png,tests/test_phase2e_final_source_propagation.py,"SOURCE-SCALE result: tens of mm axial propagation with tens of um transverse ring scale. Source-scale winding is a consistency check and does not replace the Phase 2C focal winding claim VTX-C03. Not an objective/sample-scale focal number. Supersedes VTX-C11 as the final source-scale axial statement for V1."
VTX-C28,"V3 has a measured source-scale FWHM axial zone of 20.25-119.50 mm and strict useful region of 20.50-119.25 mm with a 42.882 um reference ring radius, 23.701 um median strict feature width, 30.305 um median dark-core radius and measured winding 3.",V3,scalar_blasm,fixed_physical_source_scale,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/digital_twin/phase2e_final_source_metrics.py,outputs/validation/phase2e_final_propagation/final_zone_summary.csv;outputs/validation/phase2e_final_propagation/final_case_summary.csv,outputs/figures/phase2e_final_source_propagation/01_primary_propagation/v3_source_scale_propagation_primary.png;outputs/figures/phase2e_final_source_propagation/04_transverse_snapshots/v3_transverse_snapshots.png;outputs/figures/phase2e_final_source_propagation/06_3d_surfaces/v3_transverse_intensity_surface.png,tests/test_phase2e_final_source_propagation.py,"SOURCE-SCALE result: tens of mm axial propagation with tens of um transverse ring scale. The FWHM zone and the strict useful region differ for V3 and must not be quoted interchangeably. Source-scale winding does not replace the Phase 2C focal winding claim VTX-C04. Supersedes VTX-C11 as the final source-scale axial statement for V3."
VTX-C29,"The nominal no-additional-aperture route is the primary source-scale report prediction for B0, V1 and V3.",B0;V1;V3,scalar_blasm,fixed_physical_source_scale,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/digital_twin/phase2e_final_source_propagation.py,outputs/validation/phase2e_final_propagation/final_aperture_comparison.csv;outputs/validation/phase2e_final_propagation/source_scale_route_contract.json,outputs/figures/phase2e_final_source_propagation/07_report_hero_figures/hero_bessel_family_source_propagation.png;outputs/figures/phase2e_final_source_propagation/05_profiles_and_metrics/bessel_family_profiles_and_metrics.png,tests/test_phase2e_final_source_propagation.py,"Route report_eligibility is primary. The route-level calibration_required=false flag means ONLY that no additional aperture calibration is needed to define this numerical route. It does NOT mean experimentally calibrated, absolute physical scale verified, bench validated or fluence calibrated. See VTX-C34; experimental_calibration_required = true."
VTX-C30,"The exp[-(r/1.8 mm)^8] soft-truncation route is an unmeasured sensitivity case that shortens the strict useful region to 19.75-94.00 mm for B0, 16.75-94.00 mm for V1 and 20.25-93.00 mm for V3.",B0;V1;V3,scalar_blasm,fixed_physical_source_scale,fixed_bench_nominal_prediction,supported_with_scope,true,true,vbb_study/digital_twin/phase2e_final_source_propagation.py,outputs/validation/phase2e_final_propagation/final_aperture_comparison.csv;outputs/validation/phase2e_final_propagation/source_scale_route_contract.json,outputs/figures/phase2e_final_source_propagation/02_aperture_comparison/b0_aperture_route_comparison.png;outputs/figures/phase2e_final_source_propagation/02_aperture_comparison/v1_aperture_route_comparison.png;outputs/figures/phase2e_final_source_propagation/02_aperture_comparison/v3_aperture_route_comparison.png,tests/test_phase2e_final_source_propagation.py,"Route report_eligibility is sensitivity_only with provenance assumed_soft_truncation_sensitivity. The 1.8 mm radius is assumed, not measured. This route must never be presented as the nominal prediction."
VTX-C31,"Pronounced axial beading appears only under the hard 1.8 mm disk truncation and is a diagnostic, not the nominal experimental prediction.",B0;V1;V3,scalar_blasm,fixed_physical_source_scale,fixed_bench_nominal_prediction,narrowed,true,true,vbb_study/digital_twin/phase2e_final_source_propagation.py,outputs/validation/phase2e_final_propagation/final_aperture_comparison.csv;outputs/validation/phase2e_final_propagation/final_claim_impact_registry.csv,outputs/figures/phase2e_final_source_propagation/07_report_hero_figures/hero_aperture_effect_on_bessel_zone.png,tests/test_phase2e_final_source_propagation.py,"For B0 over 25-90 mm the detrended ripple RMS is 0.00109 with no additional aperture, 0.00113 for the soft assumption and 0.07810 for the hard disk; peak-to-valley is 0.00448, 0.00470 and 0.34672. Route report_eligibility is diagnostic_only and requires a measured physical stop at this plane before any bench claim."
VTX-C32,"Phase 2E source-scale propagation and Phase 2C objective/sample-scale focal results are separate scales and must not be merged or interchanged.",B0;V1;V3,governance,fixed_physical_source_scale,fixed_bench_nominal_prediction,supported_scope_boundary,false,true,vbb_study/digital_twin/phase2e_final_source_propagation.py,outputs/validation/phase2e_final_propagation/final_claim_impact_registry.csv;outputs/validation/phase2c/phase2c_objective_benchmark.csv,outputs/figures/phase2e_final_source_propagation/07_report_hero_figures/hero_b0_v1_v3_3d_intensity.png,tests/test_phase2e_final_source_propagation.py,"SOURCE-SCALE means tens of mm axial propagation with tens of um transverse Bessel/ring scale. OBJECTIVE/SAMPLE-SCALE means the Phase 2C Debye focal plane at approximately micron transverse scale. Phase 2E does not alter or supersede any Phase 2C focal claim; VTX-C03 to VTX-C10 remain authoritative for vector focal results."
VTX-C33,"Across the nominal source-scale B0/V1/V3 runs the maximum edge-energy fraction is 4.736e-5 and the maximum propagation power drift is 4.227e-6.",B0;V1;V3,scalar_blasm,fixed_physical_source_scale,relative_optical_prediction,supported,true,false,vbb_study/digital_twin/phase2e_final_source_metrics.py,outputs/validation/phase2e_final_propagation/final_case_summary.csv,outputs/figures/phase2e_final_source_propagation/05_profiles_and_metrics/bessel_family_profiles_and_metrics.png,tests/test_phase2e_final_source_propagation.py,"Numerical boundary-containment and conservation result. It establishes that the simulated window did not corrupt the propagation; it is not optical efficiency, throughput or physical validity."
VTX-C34,"The nominal fixed-bench source-scale prediction is not experimentally calibrated or bench validated; named hardware measurements remain outstanding.",B0;V1;V3,governance,fixed_physical_source_scale,calibration_ready_prediction,calibration_blocked,false,true,docs/95_phase2e_final_source_scale_bessel_propagation.md,outputs/validation/phase2e_final_propagation/final_outcome_report.json;outputs/validation/phase2d/calibration_readiness.json,,tests/test_phase2e_final_source_propagation.py;tests/test_phase2d_calibration_bridge.py,"experimental_calibration_required = true. Outstanding blockers: beam radius; SLM phase LUT/stroke; exact 4F iris centre and radius; physical stop/aperture presence; axicon centring and geometry; camera scale; z-stage calibration; objective/relay calibration where relevant; energy and transmission calibration for fluence. A route-level calibration_required=false flag never implies experimental validation."
