stage,notebook,figure_or_output,visualisation_type,final_export_allowed,diagnostic_allowed,legacy_quarantined,pixelation_status,interpolation_used,interpolation_label_present,units_present,colourbar_label_present,qa_label_visible,caveat_present,source_run_id,source_schema_version,recommended_action
through_sample,notebooks/lab_realism/05_through_sample_interface.ipynb,Publication_Study/outputs/csv/stage_d/through_sample_summary.csv,canonical_csv,True,False,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,1.0.0,Use registry gate before export.
through_sample,notebooks/lab_realism/05_through_sample_interface.ipynb,Publication_Study/outputs/csv/stage_d/corrected_vs_uncorrected_metrics.csv,diagnostic_csv,False,True,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,1.0.0,Use only with ideal_numerical_correction caveat.
through_sample,notebooks/lab_realism/05_through_sample_interface.ipynb,Publication_Study/outputs/csv/stage_d/*correction*.csv,diagnostic_csv,False,True,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,1.0.0,Use only with ideal_numerical_correction caveat.
full_journey,notebooks/lab_realism/06_full_source_to_sample_journey.ipynb,Publication_Study/outputs/csv/stage_e/NB_*,legacy_csv,False,False,True,not_applicable,not_applicable,not_applicable,unknown,not_applicable,unknown,True,unknown,1.0.0,Use full_source_to_sample_journey_summary.csv.
full_journey,notebooks/lab_realism/06_full_source_to_sample_journey.ipynb,Publication_Study/outputs/csv/stage_e/full_source_to_sample_journey_summary.csv,canonical_csv,True,False,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,1.0.0,Use registry gate before export.
vector,notebooks/vector/*.ipynb,Publication_Study/outputs/csv/vector/vector_*.csv,canonical_csv,True,False,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,1.0.0,Use registry gate before export.
vector,notebooks/vector/*.ipynb,Publication_Study/outputs/csv/vector/stage6_*,compatibility_csv,False,True,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,1.0.0,Use vector_* canonical rows for final export.
materials,notebooks/materials/*.ipynb,Publication_Study/outputs/csv/materials/material_*.csv,canonical_csv,True,False,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,1.0.0,Use registry gate before export.
materials,notebooks/materials/03_application_design_tables.ipynb,Publication_Study/outputs/csv/materials/07_materials_design_table.csv,compatibility_csv,False,True,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,1.0.0,Use material_application_design_table.csv for governed exports.
capsule,notebooks/advanced/01_capsule_weld_feature_design.ipynb,Publication_Study/outputs/csv/capsule/*.csv,canonical_csv,True,False,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,1.0.0,Use registry gate before export.
advanced,notebooks/advanced/02-03,Publication_Study/outputs/csv/advanced/*.csv,canonical_csv,True,False,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,1.0.0,Use registry gate before export.
validation,notebooks/scalar/05_scalar_validation_suite.ipynb,Publication_Study/outputs/figures/publication_study/sas_validation_*.png*,validation_figure,True,False,False,review_at_manuscript_size,unknown,unknown,yes,yes,yes,True,unknown,2.0.0,Use registry gate before export.
scalar,notebooks/scalar/04_scalar_parameter_sweeps.ipynb,Publication_Study/outputs/figures/publication_study/03_sweep_*_heatmap.png*,heatmap,True,False,False,review_at_manuscript_size,yes,review_required,yes,yes,yes,True,unknown,2.0.0,Use registry gate before export.
scalar,notebooks/publication_exports/03_report_export.ipynb,Publication_Study/outputs/figures/publication_study/radial_profile_overlay.png*,line_plot,True,False,False,review_at_manuscript_size,yes,review_required,yes,not_applicable,yes,True,unknown,2.0.0,Use registry gate before export.
scalar,notebooks/publication_exports/03_report_export.ipynb,Publication_Study/outputs/figures/publication_study/axial_xz_traces.png*,xz_trace_figure,True,False,False,review_at_manuscript_size,yes,review_required,yes,yes,yes,True,unknown,2.0.0,Use registry gate before export.
scalar,notebooks/publication_exports/03_report_export.ipynb,Publication_Study/outputs/figures/publication_study/shortlist_lab_comparison.png*,comparison_figure,True,False,False,review_at_manuscript_size,no,not_applicable,yes,not_applicable,yes,True,unknown,2.0.0,Use registry gate before export.
scalar,notebooks/publication_exports/03_report_export.ipynb,Publication_Study/outputs/figures/publication_study/vortex_charge_*.png*,comparison_figure,True,False,False,review_at_manuscript_size,unknown,unknown,yes,yes,yes,True,unknown,2.0.0,Use registry gate before export.
scalar,notebooks/scalar/04_scalar_parameter_sweeps.ipynb,Publication_Study/outputs/figures/publication_study/ell_family_scaling.png*,line_plot,True,False,False,review_at_manuscript_size,unknown,unknown,yes,not_applicable,yes,True,unknown,2.0.0,Use registry gate before export.
scalar,notebooks/scalar/02_scalar_ideal_vs_lab_diagnostics.ipynb,Publication_Study/outputs/figures/publication_study/ell*_diagnostics.png*,diagnostic_figure,False,True,False,acceptable,unknown,unknown,yes,yes,review_required,True,unknown,2.0.0,Use only as diagnostic or regenerate under publication preset.
scalar,notebooks/scalar/02_scalar_ideal_vs_lab_diagnostics.ipynb,Publication_Study/outputs/figures/publication_study/ell*_plane_montage.png*,plane_montage,False,True,False,acceptable,yes,review_required,yes,review_required,review_required,True,unknown,2.0.0,Use only as diagnostic or regenerate with shared scale labels.
scalar_or_compatibility,notebooks/scalar and publication_exports,Publication_Study/outputs/figures/publication_study/*.png*,publication_study_diagnostic_figure,False,True,False,review_at_manuscript_size,unknown,review_required,unknown,unknown,review_required,True,unknown,2.0.0,Add a specific registry allow-list entry before final export.
scalar_or_compatibility,notebooks/scalar and publication_exports,Publication_Study/outputs/csv/publication_study/*.csv,publication_study_diagnostic_csv,False,True,False,not_applicable,not_applicable,not_applicable,unknown,not_applicable,review_required,True,unknown,2.0.0,Use only if a final-export allow-list entry exists or is added.
lab_realism,notebooks/lab_realism/01-04,Publication_Study/outputs/figures/stage_c/*.png*,lab_realism_figure,True,False,False,review_at_manuscript_size,unknown,unknown,yes,yes,yes,True,unknown,1.0.0,Use registry gate before export.
through_sample,notebooks/lab_realism/05_through_sample_interface.ipynb,Publication_Study/outputs/figures/stage_d/NB_*,legacy_figure,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,True,unknown,1.0.0,Use non-NB through-sample figures.
through_sample,notebooks/lab_realism/05_through_sample_interface.ipynb,Publication_Study/outputs/figures/stage_d/through_sample_*.png*,through_sample_figure,True,False,False,review_at_manuscript_size,unknown,unknown,yes,yes,yes,True,unknown,1.0.0,Use registry gate before export.
full_journey,notebooks/lab_realism/06_full_source_to_sample_journey.ipynb,Publication_Study/outputs/figures/stage_e/NB_*,legacy_figure,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,True,unknown,1.0.0,Use non-NB full-source-to-sample figures.
full_journey,notebooks/lab_realism/06_full_source_to_sample_journey.ipynb,Publication_Study/outputs/figures/stage_e/full_source_to_sample_journey_*.png*,full_journey_figure,True,False,False,review_at_manuscript_size,unknown,unknown,yes,yes,yes,True,unknown,1.0.0,Use registry gate before export.
vector,notebooks/vector/*.ipynb,Publication_Study/outputs/figures/vector/*.png*,vector_figure,True,False,False,review_at_manuscript_size,unknown,unknown,yes,yes,yes,True,unknown,1.0.0,Use registry gate before export.
capsule,notebooks/advanced/01_capsule_weld_feature_design.ipynb,Publication_Study/outputs/figures/capsule/*.png*,capsule_proxy_figure,True,False,False,review_at_manuscript_size,unknown,unknown,yes,yes,yes,True,unknown,1.0.0,Use registry gate before export.
capsule,notebooks/advanced/01_capsule_weld_feature_design.ipynb,Publication_Study/outputs/figures/stage9_capsule/*.png*,capsule_proxy_figure,False,True,False,review_at_manuscript_size,unknown,unknown,yes,yes,review_required,True,unknown,1.0.0,Regenerate or copy through governed capsule figure path before final export.
through_sample,notebooks/lab_realism/05_through_sample_interface.ipynb,Publication_Study/outputs/figures/interface_correction/*.png*,diagnostic_figure,False,True,False,acceptable,unknown,unknown,yes,yes,yes,True,unknown,1.0.0,Use only with ideal_numerical_correction caveat.
vector_advanced,legacy polarized train notebooks,Publication_Study/outputs/figures/polarized_train/*.png*,diagnostic_figure,False,True,False,review_at_manuscript_size,unknown,unknown,yes,yes,review_required,True,unknown,1.0.0,Use only as diagnostic unless regenerated under canonical vector route.
materials_legacy,old Stage F compatibility notebooks,Publication_Study/outputs/figures/stage_f/*,legacy_figure,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,True,unknown,1.0.0,Use canonical materials/capsule CSVs and regenerate figures with proxy caveats.
advanced_legacy,old advanced notebooks,Publication_Study/outputs/figures/stage_h*/*,legacy_figure,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,True,unknown,1.0.0,Use canonical advanced CSVs and regenerate figures under Stage 8 labels.
advanced_legacy,old advanced discrete notebook,Publication_Study/outputs/figures/stage10_discrete/*,legacy_figure,False,False,True,dense_or_compressed,unknown,unknown,unknown,unknown,unknown,True,unknown,1.0.0,Regenerate from advanced/discrete_nfold_*.csv with propagation-status labels.
advanced_legacy,old polygonal hex-ring notebooks,Publication_Study/outputs/figures/polygonal_hex_ring/*,legacy_figure,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,True,unknown,1.0.0,Regenerate from canonical advanced CSVs.
advanced_legacy,old hollow-hex outline notebooks,Publication_Study/outputs/figures/hex_outline/*,legacy_figure,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,True,unknown,1.0.0,Regenerate under Stage 8 propagation/focal-plane labels.
materials_legacy,old Stage F compatibility notebooks,Publication_Study/outputs/csv/stage_f/*,legacy_csv,False,False,True,not_applicable,not_applicable,not_applicable,unknown,unknown,unknown,True,unknown,1.0.0,Use outputs/csv/materials or outputs/csv/capsule.
capsule_legacy,notebooks/advanced/01_capsule_weld_feature_design.ipynb,Publication_Study/outputs/csv/stage9_capsule/*,legacy_csv,False,False,True,not_applicable,not_applicable,not_applicable,unknown,unknown,unknown,True,unknown,1.0.0,Use outputs/csv/capsule/*.csv.
advanced_legacy,old advanced notebooks,Publication_Study/outputs/csv/stage_h*/*,legacy_csv,False,False,True,not_applicable,not_applicable,not_applicable,unknown,unknown,unknown,True,unknown,1.0.0,Use outputs/csv/advanced/*.csv.
advanced_legacy,old advanced discrete notebook,Publication_Study/outputs/csv/stage10_discrete/*,legacy_csv,False,False,True,not_applicable,not_applicable,not_applicable,unknown,unknown,unknown,True,unknown,1.0.0,Use outputs/csv/advanced/discrete_nfold_*.csv.
advanced_legacy,old polygonal hex-ring notebooks,Publication_Study/outputs/csv/polygonal_hex_ring/*,legacy_csv,False,False,True,not_applicable,not_applicable,not_applicable,unknown,unknown,unknown,True,unknown,1.0.0,Use outputs/csv/advanced/hexagonal_polygonal_*.csv.
advanced_legacy,old hollow-hex outline notebooks,Publication_Study/outputs/csv/hex_outline/*,legacy_csv,False,False,True,not_applicable,not_applicable,not_applicable,unknown,unknown,unknown,True,unknown,1.0.0,Use outputs/csv/advanced/hexagonal_polygonal_*.csv.
through_sample,legacy interface-correction checkpoints,Publication_Study/outputs/csv/interface_correction/*,diagnostic_csv,False,True,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,1.0.0,Use stage_d correction CSVs for governed exports.
vector_advanced,legacy polarized train checkpoints,Publication_Study/outputs/csv/polarized_train/*,diagnostic_csv,False,True,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,1.0.0,Use canonical vector CSVs for final exports.
materials_legacy,old Stage 7 materials outputs,Publication_Study/outputs/stage7_materials/*,legacy_output,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,True,unknown,1.0.0,Use outputs/csv/materials canonical tables.
validation_legacy,old Stage G validation outputs,Publication_Study/outputs/stage_g_validation/*,validation_diagnostic_output,False,True,False,review_at_manuscript_size,unknown,unknown,unknown,unknown,unknown,True,unknown,2.0.0,Use current publication_study validation outputs for final exports.
quicklook,notebooks/quicklook/00_quick_beam_to_sample_simulator.ipynb,Publication_Study/outputs/csv/quicklook/*,quicklook_csv,False,True,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,8.7.0,Use for interactive review only; rerun governed stages for final exports.
quicklook,notebooks/quicklook/00_quick_beam_to_sample_simulator.ipynb,Publication_Study/outputs/json/quicklook/*,quicklook_json,False,True,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,8.7.0,Use for traceability and parameter review only.
quicklook,notebooks/quicklook/00_quick_beam_to_sample_simulator.ipynb,Publication_Study/outputs/figures/quicklook/*.png*,quicklook_figure,False,True,False,acceptable,yes,yes,yes,yes,yes,True,unknown,8.7.0,Do not export as a final figure; rerun the governed stage at balanced/publication sampling.
manifest,finalize_publication_outputs.py,Publication_Study/outputs/manifests/*,manifest,False,True,False,not_applicable,not_applicable,not_applicable,unknown,unknown,unknown,True,unknown,1.0.0,Use for traceability only.
runtime,pytest,Publication_Study/outputs/pytest*,runtime_artifact,False,False,False,not_applicable,not_applicable,not_applicable,unknown,unknown,unknown,True,unknown,unknown,Never export.
runtime,notebook check tooling,Publication_Study/outputs/notebook_check/*,runtime_diagnostic,False,True,False,not_applicable,not_applicable,not_applicable,unknown,unknown,unknown,True,unknown,unknown,Do not include in final reports.
rejected_misplaced_artifact,unknown,Publication_Study/outputs/csv/publication_study/*.png*,misplaced_artifact,False,False,False,unknown,unknown,unknown,unknown,unknown,unknown,True,unknown,unknown,Do not export; use figures/publication_study validation figures instead.
caption_manifest,vbb_style.save_figure/finalize_publication_outputs.py,Publication_Study/outputs/**/captions_manifest.jsonl,caption_manifest,False,True,False,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,yes,True,unknown,1.0.0,Use for traceability and caption review only.
advanced_legacy,old advanced discrete notebook,Publication_Study/outputs/holograms/stage10_discrete/*,legacy_hologram,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,True,unknown,1.0.0,Regenerate only through a governed Stage 8 output.
advanced_legacy,old hollow-hex outline notebook,Publication_Study/outputs/holograms/hex_outline/*,legacy_hologram,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,True,unknown,1.0.0,Regenerate only through a governed Stage 8 output.
hologram_diagnostics,various notebooks,Publication_Study/outputs/holograms/*,hologram_or_mask,False,True,False,unknown,unknown,unknown,unknown,unknown,unknown,True,unknown,unknown,Use as lab artifact only unless separately allow-listed.
metadata_outputs,various notebooks,Publication_Study/outputs/json/*,metadata_json,False,True,False,not_applicable,not_applicable,not_applicable,unknown,unknown,unknown,True,unknown,unknown,"Use for traceability, not final figure export."
archive,archive,Publication_Study/archive/old_outputs/*,archive_artifact,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,True,unknown,unknown,Never use silently in final publication exports.
